mes,no,no_pai,pld_sub,exposicao_sub,ticker,compra_mwm,venda_mwm,saldo_mi
2026-03-01,20,7,506.38,3.7674672e7,N26MAR1,100.0,0.0,856.381
2026-03-01,20,7,506.38,3.7674672e7,N26MAR3,100.0,0.0,856.381
2026-03-01,20,7,506.38,3.7674672e7,N26MAR6,100.0,0.0,856.381
2026-03-01,20,7,785.27,5.8424088e7,NE26MAR1,100.0,0.0,856.381
2026-03-01,20,7,785.27,5.8424088e7,NE26MAR3,100.0,0.0,856.381
2026-03-01,20,7,785.27,5.8424088e7,NE26MAR6,100.0,0.0,856.381
2026-03-01,20,7,255.18,-1.644880187e7,S26MAR1,0.0,86.6393,856.381
2026-03-01,20,7,255.18,-1.8985392e7,S26MAR3,0.0,100.0,856.381
2026-03-01,20,7,255.18,-1.8985392e7,S26MAR6,0.0,100.0,856.381
2026-03-01,20,7,785.27,5.8424088e7,SE26MAR1,100.0,0.0,856.381
2026-03-01,20,7,785.27,5.8424088e7,SE26MAR3,100.0,0.0,856.381
2026-03-01,20,7,785.27,5.8424088e7,SE26MAR6,100.0,0.0,856.381
2026-03-01,21,7,57.31,4.263864e6,N26MAR1,100.0,-0.0,-19.824
2026-03-01,21,7,57.31,4.263864e6,N26MAR3,100.0,-0.0,-19.824
2026-03-01,21,7,57.31,4.263864e6,N26MAR6,100.0,-0.0,-19.824
2026-03-01,21,7,57.31,4.263864e6,NE26MAR1,100.0,-0.0,-19.824
2026-03-01,21,7,57.31,4.263864e6,NE26MAR3,100.0,-0.0,-19.824
2026-03-01,21,7,57.31,4.263864e6,NE26MAR6,100.0,-0.0,-19.824
2026-03-01,21,7,57.31,-3.69417993e6,S26MAR1,-0.0,86.6393,-19.824
2026-03-01,21,7,57.31,-4.263864e6,S26MAR3,-0.0,100.0,-19.824
2026-03-01,21,7,57.31,-4.263864e6,S26MAR6,-0.0,100.0,-19.824
2026-03-01,21,7,57.31,4.263864e6,SE26MAR1,100.0,-0.0,-19.824
2026-03-01,21,7,57.31,4.263864e6,SE26MAR3,100.0,-0.0,-19.824
2026-03-01,21,7,57.31,4.263864e6,SE26MAR6,100.0,-0.0,-19.824
2026-03-01,22,7,97.21,7.232424e6,N26MAR1,100.0,-0.0,73.132
2026-03-01,22,7,97.21,7.232424e6,N26MAR3,100.0,-0.0,73.132
2026-03-01,22,7,97.21,7.232424e6,N26MAR6,100.0,-0.0,73.132
2026-03-01,22,7,177.0,1.31688e7,NE26MAR1,100.0,-0.0,73.132
2026-03-01,22,7,177.0,1.31688e7,NE26MAR3,100.0,-0.0,73.132
2026-03-01,22,7,177.0,1.31688e7,NE26MAR6,100.0,-0.0,73.132
2026-03-01,22,7,214.37,-1.381820541e7,S26MAR1,-0.0,86.6393,73.132
2026-03-01,22,7,214.37,-1.5949128e7,S26MAR3,-0.0,100.0,73.132
2026-03-01,22,7,214.37,-1.5949128e7,S26MAR6,-0.0,100.0,73.132
2026-03-01,22,7,228.61,1.7008584e7,SE26MAR1,100.0,-0.0,73.132
2026-03-01,22,7,228.61,1.7008584e7,SE26MAR3,100.0,-0.0,73.132
2026-03-01,22,7,228.61,1.7008584e7,SE26MAR6,100.0,-0.0,73.132
2026-03-01,23,8,506.38,3.7674672e7,N26MAR1,100.0,0.0,863.568
